Delta, Rate, Expect, Margin
8, 51.03%, 106.10%, 0.76%
9, 51.71%, 106.40%, 0.71%
10, 53.08%, 106.64%, 0.66%
11, 49.89%, 107.47%, 0.68%
12, 51.48%, 107.51%, 0.63%
13, 53.08%, 107.47%, 0.57%
14, 49.89%, 108.14%, 0.58%
15, 47.61%, 108.62%, 0.57%
16, 45.10%, 109.27%, 0.58%
17, 47.15%, 109.19%, 0.54%
18, 47.38%, 109.27%, 0.52%
19, 47.84%, 109.56%, 0.50%
20, 48.52%, 109.71%, 0.49%
21, 48.29%, 110.14%, 0.48%
22, 47.38%, 110.65%, 0.48%
23, 45.33%, 111.36%, 0.49%
24, 46.92%, 111.29%, 0.47%
25, 47.61%, 111.18%, 0.45%
26, 46.92%, 111.25%, 0.43%
27, 46.70%, 111.00%, 0.41%
28, 47.15%, 110.53%, 0.38%
29, 46.24%, 110.80%, 0.37%
Stock SH603810
1, 48.23%, 101.53%, 1.53%
2, 46.05%, 102.37%, 1.18%
3, 46.59%, 102.90%, 0.97%
4, 49.32%, 103.10%, 0.78%
5, 46.17%, 103.59%, 0.72%
6, 46.58%, 103.70%, 0.62%
7, 45.88%, 103.64%, 0.52%
8, 44.35%, 103.87%, 0.48%
9, 42.82%, 104.08%, 0.45%
10, 39.50%, 104.61%, 0.46%
11, 41.71%, 104.46%, 0.41%
12, 39.78%, 104.82%, 0.40%
13, 40.61%, 104.89%, 0.38%
14, 38.67%, 105.27%, 0.38%
15, 39.23%, 105.17%, 0.34%
16, 39.78%, 105.35%, 0.33%
17, 40.06%, 105.43%, 0.32%
18, 39.23%, 105.66%, 0.31%
19, 38.95%, 105.82%, 0.31%
20, 39.78%, 105.96%, 0.30%
21, 39.50%, 106.15%, 0.29%
22, 39.23%, 106.29%, 0.29%
23, 39.78%, 106.28%, 0.27%
24, 38.40%, 106.69%, 0.28%
25, 38.95%, 106.84%, 0.27%
26, 38.40%, 107.21%, 0.28%
27, 38.40%, 107.43%, 0.28%
28, 38.12%, 107.78%, 0.28%
29, 37.85%, 107.92%, 0.27%
Stock SH603811
1, 50.19%, 101.86%, 1.86%
2, 47.92%, 102.80%, 1.40%
3, 49.24%, 103.39%, 1.13%
4, 48.30%, 103.97%, 0.99%
5, 48.86%, 104.41%, 0.88%
6, 47.06%, 104.88%, 0.81%
7, 46.58%, 105.15%, 0.74%
8, 46.10%, 105.72%, 0.72%
9, 43.89%, 106.49%, 0.72%
10, 44.17%, 106.91%, 0.69%
11, 43.10%, 107.55%, 0.69%
12, 43.76%, 107.95%, 0.66%
13, 43.76%, 108.51%, 0.65%
14, 43.95%, 109.13%, 0.65%
15, 44.91%, 109.48%, 0.63%
16, 45.19%, 109.87%, 0.62%
17, 46.44%, 109.89%, 0.58%
18, 45.56%, 110.44%, 0.58%
19, 45.07%, 110.83%, 0.57%
20, 44.87%, 111.36%, 0.57%
21, 45.07%, 111.63%, 0.55%
22, 46.81%, 111.37%, 0.52%
23, 48.36%, 111.20%, 0.49%
24, 48.16%, 111.39%, 0.47%
25, 49.32%, 110.95%, 0.44%
26, 51.26%, 110.44%, 0.40%
27, 52.22%, 110.23%, 0.38%
28, 52.22%, 110.17%, 0.36%
29, 52.80%, 109.98%, 0.34%
Stock SH603813
1, 53.72%, 101.71%, 1.71%
2, 51.47%, 102.79%, 1.40%
3, 52.82%, 103.47%, 1.16%
4, 53.27%, 103.97%, 0.99%
5, 52.37%, 104.35%, 0.87%
6, 49.89%, 104.74%, 0.79%
7, 50.79%, 104.68%, 0.67%
8, 48.98%, 105.07%, 0.63%
9, 47.74%, 105.35%, 0.59%
10, 45.25%, 105.85%, 0.59%
11, 46.38%, 106.07%, 0.55%
12, 45.02%, 106.65%, 0.55%
13, 44.34%, 107.27%, 0.56%
14, 44.80%, 107.72%, 0.55%
15, 45.25%, 107.94%, 0.53%
16, 44.44%, 108.15%, 0.51%
17, 45.58%, 107.93%, 0.47%
18, 45.12%, 107.83%, 0.43%
19, 43.54%, 107.79%, 0.41%
20, 41.72%, 107.88%, 0.39%
21, 41.95%, 107.80%, 0.37%
22, 42.86%, 107.83%, 0.36%
23, 43.08%, 108.19%, 0.36%
24, 43.76%, 108.42%, 0.35%
25, 44.22%, 108.57%, 0.34%
26, 44.22%, 108.66%, 0.33%
27, 42.40%, 109.14%, 0.34%
28, 42.40%, 109.42%, 0.34%
29, 43.08%, 109.45%, 0.33%
Stock SH603815
1, 47.04%, 101.98%, 1.98%
2, 45.93%, 103.20%, 1.60%
3, 44.44%, 104.15%, 1.38%
4, 45.19%, 104.62%, 1.15%
5, 39.78%, 105.57%, 1.11%
6, 39.18%, 105.63%, 0.94%
7, 38.81%, 105.51%, 0.79%
8, 38.81%, 105.25%, 0.66%
9, 35.45%, 105.39%, 0.60%
10, 32.84%, 106.32%, 0.63%
11, 33.58%, 106.99%, 0.64%
12, 33.58%, 107.86%, 0.65%
13, 34.33%, 108.91%, 0.69%
14, 35.21%, 109.52%, 0.68%
15, 34.96%, 110.47%, 0.70%
16, 35.09%, 111.45%, 0.72%
17, 34.85%, 112.49%, 0.73%
18, 33.08%, 114.01%, 0.78%
19, 32.82%, 114.91%, 0.78%
20, 33.59%, 115.24%, 0.76%
21, 35.50%, 115.14%, 0.72%
22, 37.02%, 115.21%, 0.69%
23, 37.02%, 115.29%, 0.66%
24, 37.02%, 115.30%, 0.64%
25, 36.64%, 115.19%, 0.61%
26, 37.02%, 114.58%, 0.56%
27, 37.79%, 114.11%, 0.52%
28, 38.17%, 113.60%, 0.49%
29, 37.79%, 113.51%, 0.47%
Stock SH603816
1, 49.32%, 101.92%, 1.92%
2, 51.37%, 102.79%, 1.40%
3, 52.16%, 103.39%, 1.13%
4, 54.12%, 103.94%, 0.99%
5, 53.53%, 104.46%, 0.89%
6, 53.33%, 104.92%, 0.82%
7, 52.16%, 105.39%, 0.77%
8, 51.96%, 105.80%, 0.72%
9, 52.55%, 106.13%, 0.68%
10, 49.61%, 106.76%, 0.68%
11, 49.41%, 107.01%, 0.64%
12, 48.33%, 107.50%, 0.63%
13, 50.39%, 107.52%, 0.58%
14, 50.89%, 107.76%, 0.55%
15, 51.19%, 108.04%, 0.54%
16, 51.49%, 108.40%, 0.53%
17, 51.98%, 108.90%, 0.52%
18, 50.79%, 109.59%, 0.53%
19, 51.98%, 109.76%, 0.51%
20, 52.58%, 110.00%, 0.50%
21, 52.98%, 110.29%, 0.49%
22, 53.37%, 110.56%, 0.48%
23, 54.17%, 110.74%, 0.47%
24, 54.17%, 111.14%, 0.46%
25, 56.75%, 110.92%, 0.44%
26, 57.34%, 111.15%, 0.43%
27, 57.94%, 111.46%, 0.42%
28, 60.12%, 111.27%, 0.40%
29, 58.73%, 111.71%, 0.40%
Stock SH603817
1, 48.85%, 101.57%, 1.57%
2, 48.14%, 102.38%, 1.19%
3, 49.03%, 103.01%, 1.00%
4, 49.38%, 103.38%, 0.85%
5, 47.52%, 103.77%, 0.75%
6, 48.67%, 103.96%, 0.66%
7, 45.73%, 104.53%, 0.65%
8, 44.92%, 104.89%, 0.61%
9, 45.28%, 105.02%, 0.56%
10, 44.74%, 105.36%, 0.54%
11, 45.28%, 105.54%, 0.50%
12, 45.99%, 105.71%, 0.48%
13, 46.35%, 105.84%, 0.45%
14, 45.99%, 106.06%, 0.43%
15, 44.03%, 106.43%, 0.43%
16, 44.03%, 106.48%, 0.41%
17, 44.03%, 106.76%, 0.40%
18, 42.60%, 107.10%, 0.39%
19, 41.18%, 107.40%, 0.39%
20, 40.82%, 107.58%, 0.38%
21, 40.82%, 107.60%, 0.36%
22, 39.75%, 107.78%, 0.35%
23, 40.11%, 107.79%, 0.34%
24, 41.35%, 107.67%, 0.32%
25, 41.71%, 107.65%, 0.31%
26, 40.11%, 108.06%, 0.31%
27, 42.07%, 107.81%, 0.29%
28, 40.64%, 108.13%, 0.29%
29, 41.53%, 107.99%, 0.28%
Stock SH603818
1, 47.94%, 101.97%, 1.97%
2, 46.47%, 103.08%, 1.54%
3, 48.07%, 103.61%, 1.20%
4, 46.87%, 104.18%, 1.04%
5, 46.21%, 104.68%, 0.94%
6, 45.94%, 105.09%, 0.85%
7, 46.74%, 105.59%, 0.80%
8, 45.54%, 106.21%, 0.78%
9, 46.60%, 106.49%, 0.72%
10, 45.27%, 107.13%, 0.71%
11, 45.54%, 107.41%, 0.67%
12, 46.07%, 107.65%, 0.64%
13, 46.21%, 107.91%, 0.61%
14, 47.00%, 108.13%, 0.58%
15, 45.67%, 108.55%, 0.57%
16, 45.14%, 108.72%, 0.55%
17, 44.47%, 109.06%, 0.53%
18, 44.87%, 109.38%, 0.52%
19, 44.61%, 109.89%, 0.52%
20, 44.61%, 110.27%, 0.51%
21, 44.21%, 110.79%, 0.51%
22, 44.87%, 111.03%, 0.50%
23, 45.67%, 111.26%, 0.49%
24, 45.27%, 111.69%, 0.49%
25, 45.67%, 111.88%, 0.48%
26, 46.60%, 111.89%, 0.46%
27, 46.74%, 112.15%, 0.45%
28, 46.07%, 112.51%, 0.45%
29, 45.27%, 112.99%, 0.45%
Stock SH603819
1, 49.54%, 101.66%, 1.66%
2, 50.83%, 102.54%, 1.27%
3, 50.09%, 103.25%, 1.08%
4, 51.20%, 103.79%, 0.95%
5, 52.30%, 104.19%, 0.84%
6, 52.30%, 104.55%, 0.76%
7, 50.83%, 104.98%, 0.71%
8, 49.36%, 105.45%, 0.68%
9, 49.91%, 105.79%, 0.64%
10, 49.45%, 106.11%, 0.61%
11, 50.28%, 106.26%, 0.57%
12, 50.56%, 106.39%, 0.53%
13, 50.28%, 106.41%, 0.49%
14, 50.00%, 106.49%, 0.46%
15, 48.70%, 106.74%, 0.45%
16, 48.70%, 106.94%, 0.43%
17, 48.14%, 107.20%, 0.42%
18, 48.33%, 107.31%, 0.41%
19, 47.40%, 107.79%, 0.41%
20, 48.70%, 107.97%, 0.40%
21, 47.58%, 108.39%, 0.40%
22, 46.84%, 108.69%, 0.39%
23, 46.65%, 108.91%, 0.39%
24, 45.72%, 109.34%, 0.39%
25, 44.98%, 109.69%, 0.39%
26, 44.80%, 109.77%, 0.38%
27, 44.61%, 110.01%, 0.37%
28, 43.87%, 110.27%, 0.37%
29, 44.05%, 110.40%, 0.36%
Stock SH603822
1, 50.69%, 101.81%, 1.81%
2, 49.48%, 102.81%, 1.40%
3, 49.83%, 103.45%, 1.15%
4, 47.77%, 104.15%, 1.04%
5, 48.54%, 104.69%, 0.94%
6, 48.10%, 105.16%, 0.86%
7, 46.98%, 105.73%, 0.82%
8, 47.40%, 106.07%, 0.76%
9, 46.10%, 106.68%, 0.74%
10, 46.88%, 106.82%, 0.68%
11, 48.35%, 106.81%, 0.62%
12, 46.61%, 107.45%, 0.62%
13, 46.09%, 107.94%, 0.61%
14, 46.26%, 108.20%, 0.59%
15, 45.74%, 108.71%, 0.58%
16, 46.43%, 109.11%, 0.57%
17, 45.22%, 109.81%, 0.58%
18, 44.17%, 110.42%, 0.58%
19, 43.83%, 110.98%, 0.58%
20, 45.04%, 111.16%, 0.56%
21, 45.39%, 111.55%, 0.55%
22, 44.43%, 112.44%, 0.57%
23, 44.68%, 113.10%, 0.57%
24, 45.55%, 113.14%, 0.55%
25, 45.72%, 113.30%, 0.53%
26, 46.95%, 113.05%, 0.50%
27, 46.60%, 113.24%, 0.49%
28, 47.12%, 113.35%, 0.48%
29, 48.17%, 113.19%, 0.45%
Stock SH603823
1, 50.72%, 101.77%, 1.77%
2, 52.17%, 102.66%, 1.33%
3, 51.45%, 103.53%, 1.18%
4, 50.72%, 104.20%, 1.05%
5, 52.90%, 104.57%, 0.91%
6, 53.62%, 105.00%, 0.83%
7, 52.63%, 105.73%, 0.82%
8, 54.18%, 106.26%, 0.78%
9, 53.01%, 106.98%, 0.78%
10, 54.20%, 107.42%, 0.74%
11, 54.11%, 108.02%, 0.73%
12, 53.66%, 108.51%, 0.71%
13, 53.76%, 108.72%, 0.67%
14, 52.76%, 109.08%, 0.65%
15, 52.67%, 109.21%, 0.61%
16, 51.48%, 109.36%, 0.58%
17, 50.92%, 109.50%, 0.56%
18, 52.03%, 109.36%, 0.52%
19, 48.71%, 110.23%, 0.54%
20, 50.18%, 110.08%, 0.50%
21, 49.63%, 110.44%, 0.50%
22, 50.74%, 110.42%, 0.47%
23, 51.11%, 110.57%, 0.46%
24, 51.48%, 110.75%, 0.45%
25, 54.06%, 110.43%, 0.42%
26, 54.06%, 110.62%, 0.41%
27, 52.95%, 110.88%, 0.40%
28, 52.95%, 110.87%, 0.39%
29, 52.87%, 110.96%, 0.38%
Stock SH603825
1, 47.32%, 102.30%, 2.30%
2, 49.33%, 103.07%, 1.54%
3, 51.56%, 103.82%, 1.27%
4, 50.22%, 104.81%, 1.20%
5, 50.89%, 105.67%, 1.13%
6, 47.99%, 106.60%, 1.10%
7, 50.67%, 106.82%, 0.97%
8, 50.45%, 107.43%, 0.93%
9, 52.35%, 107.43%, 0.83%
10, 50.90%, 108.02%, 0.80%
11, 51.01%, 108.13%, 0.74%
12, 51.58%, 108.44%, 0.70%
13, 52.37%, 108.79%, 0.68%
14, 52.49%, 109.12%, 0.65%
15, 51.02%, 109.84%, 0.66%
16, 52.05%, 110.21%, 0.64%
17, 51.71%, 110.76%, 0.63%
18, 50.68%, 111.30%, 0.63%
19, 50.46%, 111.73%, 0.62%
20, 51.60%, 112.13%, 0.61%
21, 52.51%, 112.47%, 0.59%
22, 53.88%, 112.26%, 0.56%
23, 52.74%, 112.57%, 0.55%
24, 51.83%, 112.92%, 0.54%
25, 49.77%, 113.82%, 0.55%
26, 50.46%, 113.95%, 0.54%
27, 51.37%, 114.01%, 0.52%
28, 52.05%, 114.12%, 0.50%
29, 51.83%, 114.46%, 0.50%
Stock SH603826
1, 52.28%, 101.87%, 1.87%
2, 52.07%, 103.04%, 1.52%
3, 49.38%, 104.14%, 1.38%
4, 52.60%, 104.67%, 1.17%
5, 52.08%, 105.24%, 1.05%
6, 54.49%, 105.49%, 0.92%
7, 53.35%, 106.09%, 0.87%
8, 54.09%, 106.50%, 0.81%
9, 53.99%, 107.00%, 0.78%
10, 53.47%, 107.48%, 0.75%
11, 53.38%, 107.76%, 0.71%
12, 51.48%, 108.30%, 0.69%
13, 50.21%, 108.66%, 0.67%
14, 50.42%, 108.66%, 0.62%
15, 50.84%, 108.72%, 0.58%
16, 50.84%, 109.00%, 0.56%
17, 51.48%, 109.19%, 0.54%
18, 51.27%, 109.69%, 0.54%
19, 51.48%, 110.15%, 0.53%
20, 53.16%, 110.26%, 0.51%
21, 52.32%, 110.71%, 0.51%
22, 53.38%, 110.84%, 0.49%
23, 53.59%, 111.20%, 0.49%
24, 53.38%, 111.40%, 0.48%
25, 52.64%, 111.79%, 0.47%
26, 54.03%, 111.90%, 0.46%
27, 55.20%, 112.10%, 0.45%
28, 55.74%, 112.49%, 0.45%
29, 55.22%, 113.24%, 0.46%
Stock SH603828
1, 47.82%, 101.80%, 1.80%
2, 47.96%, 102.81%, 1.40%
3, 48.23%, 103.47%, 1.16%
4, 49.18%, 103.91%, 0.98%
5, 48.50%, 104.36%, 0.87%
6, 49.18%, 104.70%, 0.78%
7, 47.41%, 105.28%, 0.75%
8, 47.00%, 105.61%, 0.70%
9, 46.05%, 105.93%, 0.66%
10, 47.61%, 106.06%, 0.61%
11, 45.22%, 106.72%, 0.61%
12, 45.55%, 107.11%, 0.59%
13, 46.99%, 107.46%, 0.57%
14, 47.74%, 107.98%, 0.57%
15, 49.31%, 108.35%, 0.56%
16, 49.24%, 108.75%, 0.55%
17, 49.72%, 109.01%, 0.53%
18, 49.79%, 109.28%, 0.52%
19, 48.76%, 109.67%, 0.51%
20, 50.62%, 109.68%, 0.48%
21, 51.59%, 109.73%, 0.46%
22, 50.62%, 110.15%, 0.46%
23, 49.79%, 110.30%, 0.45%
24, 49.38%, 110.29%, 0.43%
25, 49.79%, 109.97%, 0.40%
26, 48.69%, 110.05%, 0.39%
27, 47.72%, 110.07%, 0.37%
28, 46.61%, 110.12%, 0.36%
29, 45.78%, 110.14%, 0.35%
Stock SH603829
1, 53.77%, 101.75%, 1.75%
2, 54.25%, 102.71%, 1.36%
3, 55.66%, 103.47%, 1.16%
4, 56.03%, 104.00%, 1.00%
5, 57.11%, 104.33%, 0.87%
6, 56.29%, 104.64%, 0.77%
7, 55.24%, 105.01%, 0.72%
8, 55.13%, 105.21%, 0.65%
9, 56.46%, 105.29%, 0.59%
10, 56.12%, 105.62%, 0.56%
11, 56.73%, 105.89%, 0.54%
12, 57.21%, 106.25%, 0.52%
13, 58.65%, 106.45%, 0.50%
14, 58.17%, 106.87%, 0.49%
15, 58.17%, 107.04%, 0.47%
16, 57.69%, 107.14%, 0.45%
17, 55.53%, 107.47%, 0.44%
18, 54.33%, 107.60%, 0.42%
19, 55.29%, 107.73%, 0.41%
20, 55.29%, 108.06%, 0.40%
21, 56.97%, 108.16%, 0.39%
22, 56.49%, 108.59%, 0.39%
23, 56.49%, 108.96%, 0.39%
24, 56.01%, 109.52%, 0.40%
25, 57.21%, 109.78%, 0.39%
26, 59.13%, 109.92%, 0.38%
27, 57.21%, 110.51%, 0.39%
28, 55.77%, 110.83%, 0.39%
29, 56.25%, 110.64%, 0.37%
Stock SH603833
1, 48.46%, 102.22%, 2.22%
2, 50.88%, 103.25%, 1.62%
3, 54.61%, 103.76%, 1.25%
4, 55.92%, 104.31%, 1.08%
5, 55.92%, 104.86%, 0.97%
6, 54.17%, 105.45%, 0.91%
7, 55.26%, 105.79%, 0.83%
8, 56.58%, 106.07%, 0.76%
9, 57.89%, 106.19%, 0.69%
10, 56.58%, 106.68%, 0.67%
11, 56.92%, 106.96%, 0.63%
12, 57.71%, 107.24%, 0.60%
13, 57.40%, 107.61%, 0.59%
14, 58.41%, 107.71%, 0.55%
15, 56.76%, 108.17%, 0.54%
16, 55.56%, 108.52%, 0.53%
17, 55.23%, 108.89%, 0.52%
18, 55.58%, 109.13%, 0.51%
19, 56.60%, 109.21%, 0.48%
20, 56.95%, 109.38%, 0.47%
21, 57.17%, 109.42%, 0.45%
22, 55.83%, 109.84%, 0.45%
23, 55.38%, 110.10%, 0.44%
24, 55.83%, 110.14%, 0.42%
25, 54.26%, 110.59%, 0.42%
26, 54.93%, 110.78%, 0.41%
27, 53.36%, 111.34%, 0.42%
28, 54.26%, 111.47%, 0.41%
29, 53.93%, 111.68%, 0.40%
Stock SH603838
1, 46.02%, 102.12%, 2.12%
2, 44.72%, 103.05%, 1.53%
3, 45.53%, 103.76%, 1.25%
4, 45.53%, 104.30%, 1.07%
5, 46.02%, 104.68%, 0.94%
6, 45.20%, 105.17%, 0.86%
7, 45.04%, 105.48%, 0.78%
8, 45.20%, 105.89%, 0.74%
9, 43.41%, 106.46%, 0.72%
10, 44.14%, 106.79%, 0.68%
11, 44.37%, 107.04%, 0.64%
12, 44.12%, 107.16%, 0.60%
13, 45.01%, 106.96%, 0.54%
14, 45.41%, 106.81%, 0.49%
15, 43.93%, 107.02%, 0.47%
16, 44.10%, 107.17%, 0.45%
17, 43.28%, 107.59%, 0.45%
18, 44.66%, 107.82%, 0.43%
19, 45.23%, 108.26%, 0.43%
20, 44.81%, 108.80%, 0.44%
21, 44.55%, 109.21%, 0.44%
22, 44.46%, 109.58%, 0.44%
23, 44.79%, 109.78%, 0.43%
24, 44.30%, 109.98%, 0.42%
25, 43.31%, 110.31%, 0.41%
26, 43.47%, 110.38%, 0.40%
27, 42.81%, 110.63%, 0.39%
28, 42.31%, 110.77%, 0.38%
29, 42.81%, 110.56%, 0.36%
Stock SH603839
1, 48.44%, 101.53%, 1.53%
2, 48.35%, 102.35%, 1.18%
3, 48.07%, 102.98%, 0.99%
4, 47.15%, 103.45%, 0.86%
5, 46.59%, 103.79%, 0.76%
6, 47.33%, 103.98%, 0.66%
7, 46.22%, 104.22%, 0.60%
8, 45.67%, 104.58%, 0.57%
9, 41.80%, 105.31%, 0.59%
10, 40.88%, 105.66%, 0.57%
11, 38.86%, 106.18%, 0.56%
12, 37.75%, 106.45%, 0.54%
13, 37.94%, 106.62%, 0.51%
14, 39.59%, 106.53%, 0.47%
15, 39.04%, 106.88%, 0.46%
16, 39.41%, 107.11%, 0.44%
17, 41.07%, 107.03%, 0.41%
18, 40.33%, 107.26%, 0.40%
19, 40.33%, 107.45%, 0.39%
20, 39.78%, 107.76%, 0.39%
21, 37.75%, 108.51%, 0.41%
22, 38.67%, 108.72%, 0.40%
23, 39.59%, 109.00%, 0.39%
24, 39.96%, 109.25%, 0.39%
25, 38.49%, 109.89%, 0.40%
26, 40.70%, 109.57%, 0.37%
27, 41.07%, 109.58%, 0.35%
28, 40.52%, 109.90%, 0.35%
29, 40.77%, 110.04%, 0.35%
Stock SH603843
1, 48.21%, 101.83%, 1.83%
2, 45.54%, 102.96%, 1.48%
3, 44.90%, 103.57%, 1.19%
4, 43.91%, 104.12%, 1.03%
5, 44.70%, 104.28%, 0.86%
6, 43.88%, 104.51%, 0.75%
7, 42.34%, 104.86%, 0.69%
8, 41.34%, 105.35%, 0.67%
9, 41.52%, 105.73%, 0.64%
10, 41.52%, 106.21%, 0.62%
11, 40.43%, 106.96%, 0.63%
12, 40.61%, 107.37%, 0.61%
13, 41.34%, 107.59%, 0.58%
14, 42.06%, 107.80%, 0.56%
15, 41.34%, 108.18%, 0.55%
16, 40.61%, 108.54%, 0.53%
17, 40.25%, 109.04%, 0.53%
18, 41.16%, 109.19%, 0.51%
19, 39.35%, 110.06%, 0.53%
20, 39.71%, 110.34%, 0.52%
21, 39.89%, 110.55%, 0.50%
22, 38.99%, 111.01%, 0.50%
23, 39.71%, 110.98%, 0.48%
24, 40.79%, 110.80%, 0.45%
25, 41.52%, 110.72%, 0.43%
26, 41.52%, 110.89%, 0.42%
27, 41.52%, 110.99%, 0.41%
28, 39.89%, 111.46%, 0.41%
29, 38.27%, 112.22%, 0.42%
Stock SH603848
1, 47.79%, 101.87%, 1.87%
2, 48.23%, 102.95%, 1.47%
3, 47.12%, 103.80%, 1.27%
4, 48.45%, 104.37%, 1.09%
5, 48.45%, 104.81%, 0.96%
6, 48.45%, 105.29%, 0.88%
7, 48.67%, 105.75%, 0.82%
8, 49.34%, 106.02%, 0.75%
9, 48.23%, 106.52%, 0.72%
10, 50.11%, 106.77%, 0.68%
11, 49.78%, 107.18%, 0.65%
12, 49.22%, 107.53%, 0.63%
13, 49.11%, 107.70%, 0.59%
14, 49.89%, 107.76%, 0.55%
15, 48.65%, 108.14%, 0.54%
16, 48.76%, 108.40%, 0.52%
17, 47.52%, 108.91%, 0.52%
18, 45.37%, 109.69%, 0.54%
19, 45.37%, 110.13%, 0.53%
20, 44.47%, 110.68%, 0.53%
21, 44.47%, 110.72%, 0.51%
22, 45.15%, 110.61%, 0.48%
23, 45.82%, 110.52%, 0.46%
24, 45.60%, 110.54%, 0.44%
25, 45.60%, 110.64%, 0.43%
26, 47.40%, 110.23%, 0.39%
27, 47.18%, 110.31%, 0.38%
28, 46.50%, 110.48%, 0.37%
29, 47.18%, 110.21%, 0.35%
Stock SH603855
1, 48.02%, 101.71%, 1.71%
2, 49.79%, 102.46%, 1.23%
3, 50.52%, 102.88%, 0.96%
4, 49.79%, 103.24%, 0.81%
5, 48.42%, 103.52%, 0.70%
6, 48.73%, 103.81%, 0.63%
7, 49.68%, 104.13%, 0.59%
8, 48.94%, 104.73%, 0.59%
9, 50.32%, 104.93%, 0.55%
10, 50.64%, 105.31%, 0.53%
11, 51.91%, 105.49%, 0.50%
12, 51.06%, 105.84%, 0.49%
13, 51.17%, 106.04%, 0.46%
14, 51.92%, 106.18%, 0.44%
15, 51.82%, 106.40%, 0.43%
16, 51.93%, 106.52%, 0.41%
17, 50.64%, 106.83%, 0.40%
18, 51.72%, 106.96%, 0.39%
19, 51.93%, 107.29%, 0.38%
20, 51.07%, 107.78%, 0.39%
21, 50.00%, 108.19%, 0.39%
22, 48.28%, 108.83%, 0.40%
23, 48.07%, 109.33%, 0.41%
24, 47.21%, 110.04%, 0.42%
25, 47.64%, 110.21%, 0.41%
26, 47.21%, 110.41%, 0.40%
27, 47.85%, 110.38%, 0.38%
28, 47.21%, 110.61%, 0.38%
29, 46.35%, 111.02%, 0.38%
Stock SH603856
1, 53.50%, 101.96%, 1.96%
2, 50.34%, 103.02%, 1.51%
3, 49.21%, 103.69%, 1.23%
4, 48.08%, 104.26%, 1.07%
5, 46.28%, 104.72%, 0.94%
6, 46.28%, 105.05%, 0.84%
7, 48.42%, 105.15%, 0.74%
8, 47.39%, 105.58%, 0.70%
9, 46.36%, 106.02%, 0.67%
10, 46.47%, 106.44%, 0.64%
11, 45.89%, 106.69%, 0.61%
12, 45.77%, 106.91%, 0.58%
13, 46.10%, 107.08%, 0.54%
14, 47.59%, 107.29%, 0.52%
15, 49.08%, 107.52%, 0.50%
16, 48.50%, 107.85%, 0.49%
17, 48.27%, 108.08%, 0.48%
18, 47.81%, 108.24%, 0.46%
19, 46.88%, 108.66%, 0.46%
20, 45.03%, 109.47%, 0.47%
21, 46.19%, 109.76%, 0.46%
22, 45.96%, 110.43%, 0.47%
23, 46.19%, 110.86%, 0.47%
24, 45.50%, 111.29%, 0.47%
25, 45.27%, 111.47%, 0.46%
26, 46.19%, 111.17%, 0.43%
27, 45.96%, 111.10%, 0.41%
28, 46.88%, 110.76%, 0.38%
29, 47.81%, 110.65%, 0.37%
Stock SH603858
1, 48.08%, 101.23%, 1.23%
2, 45.74%, 101.90%, 0.95%
3, 44.15%, 102.41%, 0.80%
4, 45.65%, 102.75%, 0.69%
5, 43.48%, 103.19%, 0.64%
6, 45.39%, 103.32%, 0.55%
7, 44.97%, 103.48%, 0.50%
8, 44.71%, 103.57%, 0.45%
9, 44.28%, 103.64%, 0.40%
10, 43.94%, 103.70%, 0.37%
11, 42.09%, 104.04%, 0.37%
12, 40.91%, 104.37%, 0.36%
13, 40.74%, 104.66%, 0.36%
14, 41.41%, 104.80%, 0.34%
15, 40.91%, 105.01%, 0.33%
16, 40.91%, 105.06%, 0.32%
17, 40.24%, 105.17%, 0.30%
18, 39.06%, 105.42%, 0.30%
19, 38.22%, 105.50%, 0.29%
20, 37.88%, 105.72%, 0.29%
21, 39.73%, 105.67%, 0.27%
22, 39.73%, 105.82%, 0.26%
23, 40.57%, 105.79%, 0.25%
24, 40.74%, 105.74%, 0.24%
25, 40.74%, 105.71%, 0.23%
26, 40.07%, 105.79%, 0.22%
27, 39.39%, 105.81%, 0.22%
28, 39.90%, 105.74%, 0.20%
29, 40.40%, 105.63%, 0.19%
Stock SH603859
1, 51.25%, 102.19%, 2.19%
2, 50.58%, 103.39%, 1.69%
3, 50.67%, 104.08%, 1.36%
4, 50.39%, 104.56%, 1.14%
5, 51.84%, 104.94%, 0.99%
6, 52.13%, 105.43%, 0.90%
7, 50.49%, 106.16%, 0.88%
8, 50.78%, 106.83%, 0.85%
9, 50.68%, 107.45%, 0.83%
10, 49.90%, 108.27%, 0.83%
11, 49.90%, 108.91%, 0.81%
12, 51.46%, 109.18%, 0.77%
13, 50.68%, 109.90%, 0.76%
14, 51.07%, 110.50%, 0.75%
15, 52.24%, 110.87%, 0.72%
16, 52.05%, 111.43%, 0.71%
17, 53.22%, 111.58%, 0.68%
18, 53.61%, 111.78%, 0.65%
19, 53.41%, 112.02%, 0.63%
20, 52.24%, 112.51%, 0.63%
21, 53.80%, 112.29%, 0.59%
22, 53.02%, 112.51%, 0.57%
23, 51.66%, 112.88%, 0.56%
24, 52.24%, 112.96%, 0.54%
25, 51.85%, 113.24%, 0.53%
26, 51.85%, 113.51%, 0.52%
27, 50.68%, 114.06%, 0.52%
28, 51.27%, 114.04%, 0.50%
29, 50.88%, 114.40%, 0.50%
Stock SH603860
