Delta, Rate, Expect, Margin
13, 47.33%, 106.33%, 0.49%
14, 48.19%, 106.48%, 0.46%
15, 48.19%, 106.71%, 0.45%
16, 47.73%, 106.98%, 0.44%
17, 47.58%, 107.17%, 0.42%
18, 47.60%, 107.37%, 0.41%
19, 47.67%, 107.62%, 0.40%
20, 47.54%, 107.95%, 0.40%
21, 47.60%, 108.25%, 0.39%
22, 48.03%, 108.49%, 0.39%
23, 47.79%, 108.80%, 0.38%
24, 47.85%, 108.94%, 0.37%
25, 47.73%, 109.15%, 0.37%
26, 47.36%, 109.41%, 0.36%
27, 48.53%, 109.44%, 0.35%
28, 47.85%, 109.72%, 0.35%
29, 47.42%, 109.91%, 0.34%
Stock SH600018
1, 47.27%, 101.50%, 1.50%
2, 47.69%, 102.28%, 1.14%
3, 48.11%, 102.84%, 0.95%
4, 48.07%, 103.31%, 0.83%
5, 47.49%, 103.75%, 0.75%
6, 48.34%, 103.99%, 0.66%
7, 48.11%, 104.22%, 0.60%
8, 47.98%, 104.42%, 0.55%
9, 47.67%, 104.66%, 0.52%
10, 47.76%, 104.87%, 0.49%
11, 48.02%, 105.07%, 0.46%
12, 47.40%, 105.37%, 0.45%
13, 48.34%, 105.56%, 0.43%
14, 47.76%, 105.92%, 0.42%
15, 48.74%, 106.05%, 0.40%
16, 47.89%, 106.40%, 0.40%
17, 48.02%, 106.63%, 0.39%
18, 47.85%, 106.89%, 0.38%
19, 48.20%, 107.12%, 0.37%
20, 47.67%, 107.48%, 0.37%
21, 46.96%, 107.90%, 0.38%
22, 46.38%, 108.34%, 0.38%
23, 46.69%, 108.62%, 0.37%
24, 47.07%, 108.90%, 0.37%
25, 46.25%, 109.36%, 0.37%
26, 46.67%, 109.50%, 0.37%
27, 45.66%, 109.94%, 0.37%
28, 45.91%, 110.12%, 0.36%
29, 45.79%, 110.37%, 0.36%
Stock SH600019
1, 45.83%, 101.55%, 1.55%
2, 47.15%, 102.30%, 1.15%
3, 48.28%, 102.78%, 0.93%
4, 48.71%, 103.31%, 0.83%
5, 49.07%, 103.77%, 0.75%
6, 49.52%, 104.21%, 0.70%
7, 49.61%, 104.57%, 0.65%
8, 49.39%, 104.87%, 0.61%
9, 49.21%, 105.11%, 0.57%
10, 48.66%, 105.31%, 0.53%
11, 49.07%, 105.41%, 0.49%
12, 48.84%, 105.64%, 0.47%
13, 49.03%, 105.75%, 0.44%
14, 49.75%, 105.91%, 0.42%
15, 49.71%, 106.10%, 0.41%
16, 49.57%, 106.35%, 0.40%
17, 50.20%, 106.52%, 0.38%
18, 49.89%, 106.80%, 0.38%
19, 49.39%, 107.08%, 0.37%
20, 49.25%, 107.33%, 0.37%
21, 49.48%, 107.45%, 0.35%
22, 49.07%, 107.72%, 0.35%
23, 49.16%, 107.91%, 0.34%
24, 48.21%, 108.27%, 0.34%
25, 47.58%, 108.58%, 0.34%
26, 47.05%, 108.91%, 0.34%
27, 47.44%, 109.13%, 0.34%
28, 46.73%, 109.50%, 0.34%
29, 47.34%, 109.62%, 0.33%
Stock SH600020
1, 45.86%, 101.47%, 1.47%
2, 47.47%, 102.07%, 1.04%
3, 46.54%, 102.50%, 0.83%
4, 46.95%, 102.81%, 0.70%
5, 47.00%, 103.10%, 0.62%
6, 46.02%, 103.43%, 0.57%
7, 45.50%, 103.77%, 0.54%
8, 45.81%, 104.07%, 0.51%
9, 45.86%, 104.35%, 0.48%
10, 46.28%, 104.53%, 0.45%
11, 44.52%, 104.90%, 0.45%
12, 44.62%, 105.12%, 0.43%
13, 44.31%, 105.34%, 0.41%
14, 44.96%, 105.43%, 0.39%
15, 44.25%, 105.66%, 0.38%
16, 44.43%, 105.82%, 0.36%
17, 44.61%, 105.98%, 0.35%
18, 44.09%, 106.18%, 0.34%
19, 44.15%, 106.47%, 0.34%
20, 44.51%, 106.70%, 0.33%
21, 44.61%, 106.90%, 0.33%
22, 44.97%, 107.12%, 0.32%
23, 45.60%, 107.35%, 0.32%
24, 45.28%, 107.70%, 0.32%
25, 44.72%, 108.10%, 0.32%
26, 45.39%, 108.29%, 0.32%
27, 45.49%, 108.42%, 0.31%
28, 44.97%, 108.64%, 0.31%
29, 44.92%, 108.80%, 0.30%
Stock SH600021
1, 48.43%, 101.62%, 1.62%
2, 49.17%, 102.40%, 1.20%
3, 50.24%, 102.94%, 0.98%
4, 49.76%, 103.47%, 0.87%
5, 50.08%, 103.89%, 0.78%
6, 49.23%, 104.24%, 0.71%
7, 48.27%, 104.53%, 0.65%
8, 48.32%, 104.76%, 0.59%
9, 47.89%, 105.05%, 0.56%
10, 48.05%, 105.29%, 0.53%
11, 47.63%, 105.74%, 0.52%
12, 47.95%, 106.03%, 0.50%
13, 48.69%, 106.29%, 0.48%
14, 47.57%, 106.76%, 0.48%
15, 47.15%, 107.23%, 0.48%
16, 47.25%, 107.52%, 0.47%
17, 46.03%, 108.01%, 0.47%
18, 45.71%, 108.39%, 0.47%
19, 46.83%, 108.54%, 0.45%
20, 47.41%, 108.83%, 0.44%
21, 46.96%, 109.23%, 0.44%
22, 46.77%, 109.44%, 0.43%
23, 47.06%, 109.59%, 0.42%
24, 47.73%, 109.65%, 0.40%
25, 47.06%, 109.95%, 0.40%
26, 46.98%, 110.12%, 0.39%
27, 46.36%, 110.41%, 0.39%
28, 45.85%, 110.60%, 0.38%
29, 45.23%, 110.87%, 0.37%
Stock SH600022
1, 41.56%, 101.73%, 1.73%
2, 43.43%, 102.56%, 1.28%
3, 43.76%, 103.21%, 1.07%
4, 44.37%, 103.79%, 0.95%
5, 44.47%, 104.30%, 0.86%
6, 44.20%, 104.70%, 0.78%
7, 44.37%, 105.00%, 0.71%
8, 44.47%, 105.27%, 0.66%
9, 44.64%, 105.43%, 0.60%
10, 44.15%, 105.64%, 0.56%
11, 44.75%, 105.72%, 0.52%
12, 43.60%, 106.12%, 0.51%
13, 43.76%, 106.36%, 0.49%
14, 42.99%, 106.69%, 0.48%
15, 42.44%, 107.10%, 0.47%
16, 42.44%, 107.40%, 0.46%
17, 42.33%, 107.77%, 0.46%
18, 41.18%, 108.41%, 0.47%
19, 41.29%, 108.87%, 0.47%
20, 41.12%, 109.30%, 0.46%
21, 41.40%, 109.56%, 0.46%
22, 41.01%, 110.05%, 0.46%
23, 40.63%, 110.59%, 0.46%
24, 41.45%, 110.78%, 0.45%
25, 41.29%, 111.15%, 0.45%
26, 40.90%, 111.57%, 0.45%
27, 40.57%, 112.05%, 0.45%
28, 40.85%, 112.35%, 0.44%
29, 42.00%, 112.34%, 0.43%
Stock SH600023
1, 45.33%, 101.14%, 1.14%
2, 46.31%, 101.63%, 0.82%
3, 48.89%, 101.87%, 0.62%
4, 48.65%, 102.16%, 0.54%
5, 49.63%, 102.40%, 0.48%
6, 49.63%, 102.57%, 0.43%
7, 50.12%, 102.83%, 0.40%
8, 51.60%, 103.01%, 0.38%
9, 51.97%, 103.32%, 0.37%
10, 53.56%, 103.50%, 0.35%
11, 53.56%, 103.78%, 0.34%
12, 53.93%, 104.02%, 0.33%
13, 53.07%, 104.31%, 0.33%
14, 54.18%, 104.46%, 0.32%
15, 53.69%, 104.80%, 0.32%
16, 53.56%, 105.05%, 0.32%
17, 52.46%, 105.32%, 0.31%
18, 51.47%, 105.62%, 0.31%
19, 51.84%, 105.72%, 0.30%
20, 52.09%, 105.79%, 0.29%
21, 52.70%, 105.89%, 0.28%
22, 52.46%, 106.09%, 0.28%
23, 52.33%, 106.23%, 0.27%
24, 52.83%, 106.20%, 0.26%
25, 51.41%, 106.38%, 0.26%
26, 49.63%, 106.60%, 0.25%
27, 49.57%, 106.66%, 0.25%
28, 48.40%, 106.85%, 0.24%
29, 47.59%, 107.01%, 0.24%
Stock SH600025
1, 46.02%, 101.41%, 1.41%
2, 45.78%, 102.10%, 1.05%
3, 47.71%, 102.49%, 0.83%
4, 46.99%, 102.92%, 0.73%
5, 48.67%, 103.26%, 0.65%
6, 47.47%, 103.78%, 0.63%
7, 45.30%, 104.32%, 0.62%
8, 46.51%, 104.72%, 0.59%
9, 48.43%, 104.99%, 0.55%
10, 47.23%, 105.49%, 0.55%
11, 49.40%, 105.65%, 0.51%
12, 49.64%, 106.00%, 0.50%
13, 50.12%, 106.15%, 0.47%
14, 51.93%, 106.13%, 0.44%
15, 51.57%, 106.25%, 0.42%
16, 50.12%, 106.41%, 0.40%
17, 49.15%, 106.54%, 0.38%
18, 50.12%, 106.51%, 0.36%
